session_len_bin,scenario,cr_pct,n_sessions
1,Trước (gốc),,
2,Trước (gốc),,
3,Trước (gốc),3.3609100310237854,1934.0
4,Trước (gốc),3.8750722961249275,1729.0
5,Trước (gốc),5.0438596491228065,1368.0
6,Trước (gốc),3.1731640979147784,1103.0
7,Trước (gốc),5.034324942791762,874.0
8,Trước (gốc),4.64,625.0
9,Trước (gốc),5.836575875486381,514.0
10,Trước (gốc),2.5773195876288657,388.0
11–15,Trước (gốc),4.8123195380173245,1039.0
16–20,Trước (gốc),8.766233766233766,308.0
1,Sau (có model),1.0427528675703857,1918.0
2,Sau (có model),2.21606648199446,722.0
3,Sau (có model),4.413145539906103,1065.0
4,Sau (có model),6.033182503770739,663.0
5,Sau (có model),10.471204188481675,382.0
6,Sau (có model),6.115107913669065,278.0
7,Sau (có model),4.516129032258064,155.0
8,Sau (có model),10.344827586206897,87.0
9,Sau (có model),8.064516129032258,62.0
10,Sau (có model),5.128205128205128,39.0
11–15,Sau (có model),5.88235294117647,68.0
16–20,Sau (có model),18.75,16.0
