len_bucket,model,hr20,n_sessions
10–20,Co-occurrence,0.2852979274611399,15440
10–20,Popularity,0.008031088082901554,15440
10–20,SR-GNN,0.5246113989637305,15440
1–3,Co-occurrence,0.3243102550754815,3842
1–3,Popularity,0.014315460697553357,3842
1–3,SR-GNN,0.5801665799062988,3842
20+,Co-occurrence,0.27353266888150607,1806
20+,Popularity,0.008305647840531562,1806
20+,SR-GNN,0.4695459579180509,1806
4–5,Co-occurrence,0.3220393330483112,9356
4–5,Popularity,0.012505344164172724,9356
4–5,SR-GNN,0.5598546387345019,9356
6–9,Co-occurrence,0.3009181430234062,15466
6–9,Popularity,0.00995732574679943,15466
6–9,SR-GNN,0.5464244148454674,15466
